Range	Frequency
0-0.05	3
0.05-0.1	62
0.1-0.15	68
0.15-0.2	0
0.2-0.25	3
0.25-0.3	0
0.3-0.35	0
0.35-0.4	2
0.4-0.45	131
0.45-0.5	80
0.5-0.55	51
0.55-0.6	91
0.6-0.65	2
0.65-0.7	0
0.7-0.75	1
0.75-0.8	1
0.8-0.85	2
0.85-0.9	0
0.9-0.95	0
0.95-1	3
