Range	Frequency
0-0.05	52
0.05-0.1	3
0.1-0.15	2
0.15-0.2	69
0.2-0.25	5
0.25-0.3	0
0.3-0.35	0
0.35-0.4	0
0.4-0.45	165
0.45-0.5	0
0.5-0.55	0
0.55-0.6	0
0.6-0.65	2
0.65-0.7	0
0.7-0.75	57
0.75-0.8	21
0.8-0.85	29
0.85-0.9	87
0.9-0.95	7
0.95-1	1
