Range	Frequency
0-0.05	244
0.05-0.1	3702
0.1-0.15	2566
0.15-0.2	1541
0.2-0.25	928
0.25-0.3	475
0.3-0.35	257
0.35-0.4	126
0.4-0.45	56
0.45-0.5	34
0.5-0.55	15
0.55-0.6	10
0.6-0.65	19
0.65-0.7	13
0.7-0.75	7
0.75-0.8	3
0.8-0.85	3
0.85-0.9	0
0.9-0.95	0
0.95-1	1
